                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1974,                0.87604,                 1.1074,                0.68617,                0.53416,                0.61209,                 0.3964,                 1.0704,                0.74614,                 1.0554,                0.00307,                0.00307,                0.00307
                     37,                 1.1836,                0.86132,                 1.1015,                0.70892,                0.52396,                0.63913,                0.41637,                 1.0753,                0.74181,                 1.0577,               0.002872,               0.002872,               0.002872
                     38,                 1.1804,                0.85466,                 1.0986,                0.74234,                0.60017,                0.66121,                0.43099,                 1.0602,                0.71861,                 1.0514,               0.002674,               0.002674,               0.002674
                     39,                 1.1656,                 0.8389,                 1.0949,                0.59524,                0.61563,                0.64043,                0.41836,                 1.0502,                0.71343,                 1.0476,               0.002476,               0.002476,               0.002476
                     40,                 1.1538,                0.83044,                   1.09,                0.74632,                0.54606,                0.64267,                0.42639,                 1.0235,                0.71034,                 1.0401,               0.002278,               0.002278,               0.002278
                     41,                  1.101,                0.76178,                 1.0592,                0.67699,                0.58176,                0.65704,                0.43177,                 1.0639,                0.73022,                 1.0526,                0.00208,                0.00208,                0.00208
                     42,                 1.0814,                0.73328,                 1.0477,                0.66857,                0.58887,                0.65874,                0.43665,                 1.0487,                0.70929,                 1.0466,               0.001882,               0.001882,               0.001882
                     43,                 1.0685,                0.72057,                 1.0449,                0.71479,                0.57595,                0.66727,                0.44508,                 1.0513,                 0.7033,                 1.0412,               0.001684,               0.001684,               0.001684
                     44,                 1.0489,                 0.7041,                 1.0365,                 0.7275,                0.62222,                0.67789,                0.45103,                 1.0358,                0.69248,                 1.0365,               0.001486,               0.001486,               0.001486
                     45,                 1.0349,                0.68878,                  1.031,                0.64789,                0.62168,                0.67887,                0.45442,                 1.0228,                0.68236,                 1.0355,               0.001288,               0.001288,               0.001288
                     46,                 1.0176,                0.67153,                 1.0207,                0.76458,                0.60184,                0.69764,                0.47467,                 1.0067,                0.67533,                 1.0318,                0.00109,                0.00109,                0.00109
                     47,                 1.0041,                0.65762,                 1.0175,                 0.7417,                0.63786,                0.69644,                 0.4761,                 1.0062,                0.66655,                  1.025,               0.000892,               0.000892,               0.000892
                     48,                0.98529,                0.64365,                 1.0068,                0.67706,                0.65284,                0.69941,                0.48054,                 1.0074,                0.66429,                 1.0217,               0.000694,               0.000694,               0.000694
                     49,                0.96986,                0.62785,                 1.0027,                0.70119,                0.69425,                0.70827,                 0.4877,                0.99733,                0.65149,                 1.0199,               0.000496,               0.000496,               0.000496
                     50,                0.95084,                0.61412,                0.99614,                0.72907,                  0.664,                0.71704,                0.49282,                0.98369,                0.64157,                 1.0168,               0.000298,               0.000298,               0.000298
